Indicator Name,Income Group,Year,Median,Lower Bound,Upper Bound,Count
ANC4 Coverage,Lower-middle-income countries,2020,70.9,56.94082142,84.85917858,49
ANC4 Coverage,Upper-middle-income countries,2020,86.5,76.791194,96.208806,51
ANC4 Coverage,High-income countries,2021,96.65,85.54313275,107.7568672,39
ANC4 Coverage,Low-income countries,2021,44.7,31.22496135,58.17503865,25
ANC4 Coverage,Lower-middle-income countries,2021,76.25,57.72014694,94.77985306,49
ANC4 Coverage,Upper-middle-income countries,2021,87.6,79.33688493,95.86311507,51
ANC4 Coverage,High-income countries,2022,95.1,88.66422687,101.5357731,39
ANC4 Coverage,Low-income countries,2022,51.95,18.22628184,85.67371816,25
ANC4 Coverage,Lower-middle-income countries,2022,72.3,55.17921463,89.42078537,49
ANC4 Coverage,Upper-middle-income countries,2022,89.8,71.03091162,108.5690884,51
ANC4 Coverage,High-income countries,2023,97.7,80.18016189,115.2198381,39
ANC4 Coverage,Low-income countries,2023,33.4,23.57231801,43.22768199,25
ANC4 Coverage,Lower-middle-income countries,2023,71.6,55.67770003,87.52229997,49
ANC4 Coverage,Upper-middle-income countries,2023,88.5,75.10331254,101.8966875,51
ANC4 Coverage,Low-income countries,2024,48.1,43.5745166,52.6254834,25
ANC4 Coverage,Lower-middle-income countries,2024,71,55.72855606,86.27144394,49
UHC (Overall),High-income countries,2000,77,72.15355925,81.84644075,63
UHC (Overall),Low-income countries,2000,28,11.47192802,44.52807198,25
UHC (Overall),Lower-middle-income countries,2000,62,49.79858796,74.20141204,50
UHC (Overall),Upper-middle-income countries,2000,69.5,60.73321574,78.26678426,53
UHC (Overall),High-income countries,2001,77,72.33542518,81.66457482,63
UHC (Overall),Low-income countries,2001,27,10.64267734,43.35732266,25
UHC (Overall),Lower-middle-income countries,2001,63,53.04736708,72.95263292,50
UHC (Overall),Upper-middle-income countries,2001,69.5,61.02943652,77.97056348,53
UHC (Overall),High-income countries,2002,77,72.62942532,81.37057468,63
UHC (Overall),Low-income countries,2002,27,11.15163621,42.84836379,25
UHC (Overall),Lower-middle-income countries,2002,64,54.28273423,73.71726577,50
UHC (Overall),Upper-middle-income countries,2002,69,60.48966473,77.51033527,53
UHC (Overall),High-income countries,2003,78,73.39034349,82.60965651,63
UHC (Overall),Low-income countries,2003,27,11.57225549,42.42774451,25
UHC (Overall),Lower-middle-income countries,2003,64,54.31975875,73.68024125,50
UHC (Overall),Upper-middle-income countries,2003,70,61.79018456,78.20981544,53
UHC (Overall),High-income countries,2004,78,73.66905495,82.33094505,63
UHC (Overall),Low-income countries,2004,28,12.29609898,43.70390102,25
UHC (Overall),Lower-middle-income countries,2004,65,54.30557027,75.69442973,50
UHC (Overall),Upper-middle-income countries,2004,70,59.23866615,80.76133385,53
UHC (Overall),High-income countries,2005,79,74.65111273,83.34888727,63
UHC (Overall),Low-income countries,2005,29,13.97972486,44.02027514,25
UHC (Overall),Lower-middle-income countries,2005,64,51.49290928,76.50709072,50
UHC (Overall),Upper-middle-income countries,2005,70,59.73518795,80.26481205,53
UHC (Overall),High-income countries,2006,79,74.57778049,83.42221951,63
UHC (Overall),Low-income countries,2006,31,16.62199107,45.37800893,25
UHC (Overall),Lower-middle-income countries,2006,63,51.0475972,74.9524028,50
UHC (Overall),Upper-middle-income countries,2006,70.5,61.0347833,79.9652167,53
UHC (Overall),High-income countries,2007,79,71.16326277,86.83673723,63
UHC (Overall),Low-income countries,2007,35,21.10305789,48.89694211,25
UHC (Overall),Lower-middle-income countries,2007,62.5,50.00406076,74.99593924,50
UHC (Overall),Upper-middle-income countries,2007,70,63.70549583,76.29450417,53
UHC (Overall),High-income countries,2008,79,71.38858269,86.61141731,63
UHC (Overall),Low-income countries,2008,36,21.58524504,50.41475496,25
UHC (Overall),Lower-middle-income countries,2008,61.5,47.30867235,75.69132765,50
UHC (Overall),Upper-middle-income countries,2008,70,63.25455286,76.74544714,53
UHC (Overall),High-income countries,2009,79,71.40687744,86.59312256,63
UHC (Overall),Low-income countries,2009,36.5,24.35200766,48.64799234,25
UHC (Overall),Lower-middle-income countries,2009,63,48.70312365,77.29687635,50
UHC (Overall),Upper-middle-income countries,2009,70,62.77872173,77.22127827,53
UHC (Overall),High-income countries,2010,80,72.30072006,87.69927994,63
UHC (Overall),Low-income countries,2010,37,24.5347879,49.4652121,25
UHC (Overall),Lower-middle-income countries,2010,58,43.84161264,72.15838736,50
UHC (Overall),Upper-middle-income countries,2010,71,64.06146355,77.93853645,53
UHC (Overall),High-income countries,2011,81,73.19565793,88.80434207,63
UHC (Overall),Low-income countries,2011,38,26.11496873,49.88503127,25
UHC (Overall),Lower-middle-income countries,2011,59,45.5663486,72.4336514,50
UHC (Overall),Upper-middle-income countries,2011,72,63.7664709,80.2335291,53
UHC (Overall),High-income countries,2012,81,74.03051384,87.96948616,63
UHC (Overall),Low-income countries,2012,39,26.8416532,51.1583468,25
UHC (Overall),Lower-middle-income countries,2012,58,44.68703761,71.31296239,50
UHC (Overall),Upper-middle-income countries,2012,71.5,63.2666586,79.7333414,53
UHC (Overall),High-income countries,2013,82,75.07748513,88.92251487,63
UHC (Overall),Low-income countries,2013,39.5,27.92350867,51.07649133,25
UHC (Overall),Lower-middle-income countries,2013,58,44.39646655,71.60353345,50
UHC (Overall),Upper-middle-income countries,2013,72,63.72595514,80.27404486,53
UHC (Overall),High-income countries,2014,82,75.25759947,88.74240053,63
UHC (Overall),Low-income countries,2014,39,28.49746574,49.50253426,25
UHC (Overall),Lower-middle-income countries,2014,58.5,45.38261786,71.61738214,50
UHC (Overall),Upper-middle-income countries,2014,72,63.68432489,80.31567511,53
UHC (Overall),High-income countries,2015,82,76.64170142,87.35829858,63
UHC (Overall),Low-income countries,2015,41,30.72674419,51.27325581,25
UHC (Overall),Lower-middle-income countries,2015,61,48.36643127,73.63356873,50
UHC (Overall),Upper-middle-income countries,2015,74,65.15616214,82.84383786,53
UHC (Overall),High-income countries,2016,83,78.97022864,87.02977136,63
UHC (Overall),Low-income countries,2016,41,30.28642706,51.71357294,25
UHC (Overall),Lower-middle-income countries,2016,61.5,48.60069161,74.39930839,50
UHC (Overall),Upper-middle-income countries,2016,74,65.89226582,82.10773418,53
UHC (Overall),High-income countries,2017,82.5,78.2418453,86.7581547,63
UHC (Overall),Low-income countries,2017,43,30.84895272,55.15104728,25
UHC (Overall),Lower-middle-income countries,2017,60,47.51447215,72.48552785,50
UHC (Overall),Upper-middle-income countries,2017,72,63.822343,80.177657,53
UHC (Overall),High-income countries,2018,82,77.43880374,86.56119626,63
UHC (Overall),Low-income countries,2018,42,29.7314985,54.2685015,25
UHC (Overall),Lower-middle-income countries,2018,56,44.09139025,67.90860975,50
UHC (Overall),Upper-middle-income countries,2018,71,62.83651617,79.16348383,53
UHC (Overall),High-income countries,2019,82,76.61171495,87.38828505,63
UHC (Overall),Low-income countries,2019,42,29.47406631,54.52593369,25
UHC (Overall),Lower-middle-income countries,2019,56,43.80396518,68.19603482,50
UHC (Overall),Upper-middle-income countries,2019,71.5,63.19459607,79.80540393,53
UHC (Overall),High-income countries,2020,83,77.63663686,88.36336314,63
UHC (Overall),Low-income countries,2020,42,30.30357885,53.69642115,25
UHC (Overall),Lower-middle-income countries,2020,58,45.66298171,70.33701829,50
UHC (Overall),Upper-middle-income countries,2020,75,66.97129605,83.02870395,53
UHC (Overall),High-income countries,2021,83,77.81567816,88.18432184,63
UHC (Overall),Low-income countries,2021,44.5,32.65733656,56.34266344,25
